group	y	x
1	3.10037054511756	1
1	2.59774256904387	2
1	2.080311660041	3
1	1.52998450338873	4
1	0.89394303969942	5
1	0.0094515002776166	6
1	-1.55049076441563	7
1	-4.63005411401539	8
1	-10.5939206362036	9
1	-13.7324906718488	10
1	-13.7324906718488	11
1	-13.7324906718488	12
1	-13.7324906718488	13
1	-13.7324906718488	14
1	-13.7324906718488	15
1	-13.7324906718488	16
1	-13.7324906718488	17
1	-13.7324906718488	18
1	-13.7324906718488	19
1	-13.7324906718488	20
2	2.24223094054017	1
2	1.70526158342391	2
2	1.10553266069653	3
2	0.32737186453724	4
2	-0.956192382757709	5
2	-3.44434083639392	6
2	-8.49491869946705	7
2	-13.7324906718488	8
2	-13.7324906718488	9
2	-13.7324906718488	10
2	-13.7324906718488	11
2	-13.7324906718488	12
2	-13.7324906718488	13
2	-13.7324906718488	14
2	-13.7324906718488	15
2	-13.7324906718488	16
2	-13.7324906718488	17
2	-13.7324906718488	18
2	-13.7324906718488	19
2	-13.7324906718488	20
3	0.98675068873025	1
3	1.83312588903029	2
3	1.25388422262167	3
3	0.535498655172387	4
3	-0.584458793718195	5
3	-2.70715341106616	6
3	-6.95479428274703	7
3	-12.6993172650877	8
3	-13.7324906718488	9
3	-13.7324906718488	10
3	-13.7324906718488	11
3	-13.7324906718488	12
3	-13.7324906718488	13
3	-13.7324906718488	14
3	-13.7324906718488	15
3	-13.7324906718488	16
3	-13.7324906718488	17
3	-13.7324906718488	18
3	-13.7324906718488	19
3	-13.7324906718488	20
4	0.946236253581947	1
4	0.55460651755968	2
4	-1.07201123990302	3
4	-4.57750174244469	4
4	-12.6500992424175	5
4	-13.7324906718488	6
4	-13.7324906718488	7
4	-13.7324906718488	8
4	-13.7324906718488	9
4	-13.7324906718488	10
4	-13.7324906718488	11
4	-13.7324906718488	12
4	-13.7324906718488	13
4	-13.7324906718488	14
4	-13.7324906718488	15
4	-13.7324906718488	16
4	-13.7324906718488	17
4	-13.7324906718488	18
4	-13.7324906718488	19
4	-13.7324906718488	20
5	0.778745166288184	1
5	-0.731149443968169	2
5	-2.74675362058417	3
5	-6.75198419319218	4
5	-12.9309258519932	5
5	-13.7324906718488	6
5	-13.7324906718488	7
5	-13.7324906718488	8
5	-13.7324906718488	9
5	-13.7324906718488	10
5	-13.7324906718488	11
5	-13.7324906718488	12
5	-13.7324906718488	13
5	-13.7324906718488	14
5	-13.7324906718488	15
5	-13.7324906718488	16
5	-13.7324906718488	17
5	-13.7324906718488	18
5	-13.7324906718488	19
5	-13.7324906718488	20
6	0.422479258291688	1
6	0.313569675283495	2
6	-1.16726792148781	3
6	-3.66119381797706	4
6	-8.61243754156605	5
6	-13.7324906718488	6
6	-13.7324906718488	7
6	-13.7324906718488	8
6	-13.7324906718488	9
6	-13.7324906718488	10
6	-13.7324906718488	11
6	-13.7324906718488	12
6	-13.7324906718488	13
6	-13.7324906718488	14
6	-13.7324906718488	15
6	-13.7324906718488	16
6	-13.7324906718488	17
6	-13.7324906718488	18
6	-13.7324906718488	19
6	-13.7324906718488	20
7	0.629447083820439	1
7	0.46274425405197	2
7	-0.55503074368434	3
7	-2.44137706449444	4
7	-6.19026251296189	5
7	-11.8931372911038	6
7	-13.7324906718488	7
7	-13.7324906718488	8
7	-13.7324906718488	9
7	-13.7324906718488	10
7	-13.7324906718488	11
7	-13.7324906718488	12
7	-13.7324906718488	13
7	-13.7324906718488	14
7	-13.7324906718488	15
7	-13.7324906718488	16
7	-13.7324906718488	17
7	-13.7324906718488	18
7	-13.7324906718488	19
7	-13.7324906718488	20
8	2.25527250510331	1
8	1.73309511775037	2
8	1.17052439317645	3
8	0.497572148752733	4
8	-0.496859221828165	5
8	-2.32774594612496	6
8	-5.96417148683735	7
8	-11.6641099568603	8
8	-13.7324906718488	9
8	-13.7324906718488	10
8	-13.7324906718488	11
8	-13.7324906718488	12
8	-13.7324906718488	13
8	-13.7324906718488	14
8	-13.7324906718488	15
8	-13.7324906718488	16
8	-13.7324906718488	17
8	-13.7324906718488	18
8	-13.7324906718488	19
8	-13.7324906718488	20
