group	x	y
41	-4.01654096432056	-55
41	-3.93490831125934	-55
41	-3.85327565819811	-55
41	-3.77164300513689	-55
41	-3.69001035207566	-55
41	-3.60837769901444	-55
41	-3.52674504595322	-55
41	-3.44511239289199	-55
41	-3.36347973983077	-55
41	-3.28184708676954	-55
41	-3.20021443370832	-55
41	-3.11858178064709	-55
41	-3.03694912758587	-55
41	-2.95531647452464	-55
41	-2.87368382146342	-55
41	-2.7920511684022	-50.3353924061962
41	-2.71041851534097	-45.1445091447531
41	-2.62878586227975	-39.9536258833099
41	-2.54715320921852	-34.7627426218667
41	-2.4655205561573	-29.5718593604235
41	-2.38388790309607	-24.3809760989804
41	-2.30225525003485	-19.1900928375372
41	-2.22062259697362	-13.9992095760941
41	-2.1389899439124	-8.80832631465089
41	-2.05735729085117	-3.61744305320772
41	-1.97572463778995	1.57344020823546
41	-1.89409198472873	6.7643234696786
41	-1.8124593316675	11.9552067311218
41	-1.73082667860628	17.1460899925649
41	-1.64919402554505	22.3369732540081
41	-1.56756137248383	27.5278565154513
41	-1.4859287194226	32.7187397768944
41	-1.40429606636138	37.9096230383376
41	-1.32266341330015	43.1005062997808
41	-1.24103076023893	48.2913895612239
41	-1.15939810717771	53.4822728226671
41	-1.07776545411648	55
41	-0.996132801055256	55
41	-0.914500147994032	55
41	-0.832867494932808	55
41	-0.751234841871583	55
41	-0.669602188810358	55
41	-0.587969535749134	55
41	-0.506336882687909	55
41	-0.424704229626685	55
41	-0.34307157656546	55
41	-0.261438923504236	55
41	-0.179806270443011	55
41	-0.0981736173817866	55
41	-0.0165409643205625	55
42	-4.00000599105454	-55
42	-3.91837333799332	-55
42	-3.83674068493209	-55
42	-3.75510803187087	-55
42	-3.67347537880964	-55
42	-3.59184272574842	-55
42	-3.51021007268719	-55
42	-3.42857741962597	-55
42	-3.34694476656474	-55
42	-3.26531211350352	-55
42	-3.18367946044229	-55
42	-3.10204680738107	-55
42	-3.02041415431985	-55
42	-2.93878150125862	-55
42	-2.8571488481974	-51.42993812375
42	-2.77551619513617	-46.5318830135941
42	-2.69388354207495	-41.6338279034382
42	-2.61225088901372	-36.7357727932823
42	-2.5306182359525	-31.8377176831264
42	-2.44898558289127	-26.9396625729704
42	-2.36735292983005	-22.0416074628145
42	-2.28572027676883	-17.1435523526586
42	-2.2040876237076	-12.2454972425027
42	-2.12245497064638	-7.34744213234679
42	-2.04082231758515	-2.44938702219087
42	-1.95918966452393	2.44866808796505
42	-1.8775570114627	7.34672319812094
42	-1.79592435840148	12.2447783082769
42	-1.71429170534025	17.1428334184328
42	-1.63265905227903	22.0408885285887
42	-1.55102639921781	26.9389436387446
42	-1.46939374615658	31.8369987489005
