group	x	y	showSelected1
1	-1.3	-1.297	1
1	-1.21836734693878	-1.25863265306122	1
1	-1.13673469387755	-1.22026530612245	1
1	-1.05510204081633	-1.18189795918367	1
1	-0.973469387755102	-1.1435306122449	1
1	-0.891836734693878	-1.10516326530612	1
1	-0.810204081632653	-1.06679591836735	1
1	-0.728571428571429	-1.02842857142857	1
1	-0.646938775510204	-0.990061224489796	1
1	-0.56530612244898	-0.95169387755102	1
1	-0.483673469387755	-0.913326530612245	1
1	-0.402040816326531	-0.874959183673469	1
1	-0.320408163265306	-0.836591836734694	1
1	-0.238775510204082	-0.798224489795918	1
1	-0.157142857142857	-0.759857142857143	1
1	-0.0755102040816329	-0.721489795918367	1
1	0.00612244897959169	-0.683122448979592	1
1	0.0877551020408163	-0.644755102040816	1
1	0.169387755102041	-0.606387755102041	1
1	0.251020408163265	-0.568020408163265	1
1	0.33265306122449	-0.52965306122449	1
1	0.414285714285714	-0.491285714285714	1
1	0.495918367346939	-0.452918367346939	1
1	0.577551020408163	-0.414551020408163	1
1	0.659183673469388	-0.376183673469388	1
1	0.740816326530612	-0.337816326530612	1
1	0.822448979591836	-0.299448979591837	1
1	0.904081632653061	-0.261081632653061	1
1	0.985714285714286	-0.222714285714286	1
1	1.06734693877551	-0.18434693877551	1
1	1.14897959183673	-0.145979591836735	1
1	1.23061224489796	-0.10761224489796	1
1	1.31224489795918	-0.069244897959184	1
1	1.39387755102041	-0.0308775510204085	1
1	1.47551020408163	0.00748979591836713	1
1	1.55714285714286	0.0458571428571424	1
1	1.63877551020408	0.084224489795918	1
1	1.72040816326531	0.122591836734693	1
1	1.80204081632653	0.160959183673469	1
1	1.88367346938775	0.199326530612244	1
1	1.96530612244898	0.23769387755102	1
1	2.0469387755102	0.276061224489795	1
1	2.12857142857143	0.314428571428571	1
1	2.21020408163265	0.352795918367346	1
1	2.29183673469388	0.391163265306122	1
1	2.3734693877551	0.429530612244897	1
1	2.45510204081633	0.467897959183673	1
1	2.53673469387755	0.506265306122448	1
1	2.61836734693878	0.544632653061224	1
1	2.7	0.583	1
2	-0.540425531914893	-9.132304633848	2
2	-0.458792878853669	-8.69221705150859	2
2	-0.377160225792444	-8.25212946916918	2
2	-0.29552757273122	-7.81204188682977	2
2	-0.213894919669995	-7.37195430449036	2
2	-0.132262266608771	-6.93186672215095	2
2	-0.0506296135475463	-6.49177913981154	2
2	0.0310030395136782	-6.05169155747213	2
2	0.112635692574903	-5.61160397513272	2
2	0.194268345636127	-5.17151639279331	2
2	0.275900998697352	-4.7314288104539	2
2	0.357533651758576	-4.29134122811449	2
2	0.439166304819801	-3.85125364577508	2
2	0.520798957881025	-3.41116606343567	2
2	0.60243161094225	-2.97107848109626	2
2	0.684064264003474	-2.53099089875685	2
2	0.765696917064699	-2.09090331641744	2
2	0.847329570125923	-1.65081573407803	2
2	0.928962223187147	-1.21072815173862	2
2	1.01059487624837	-0.770640569399214	2
2	1.0922275293096	-0.330552987059805	2
2	1.17386018237082	0.109534595279605	2
2	1.25549283543205	0.549622177619013	2
2	1.33712548849327	0.989709759958424	2
2	1.41875814155449	1.42979734229783	2
2	1.50039079461572	1.86988492463724	2
2	1.58202344767694	2.30997250697665	2
2	1.66365610073817	2.75006008931606	2
2	1.74528875379939	3.19014767165547	2
2	1.82692140686062	3.63023525399488	2
2	1.90855405992184	4.07032283633429	2
2	1.99018671298307	4.5104104186737	2
2	2.07181936604429	4.95049800101311	2
2	2.15345201910552	5.39058558335252	2
2	2.23508467216674	5.83067316569193	2
2	2.31671732522796	6.27076074803134	2
2	2.39834997828919	6.71084833037075	2
2	2.47998263135041	7.15093591271016	2
2	2.56161528441164	7.59102349504957	2
2	2.64324793747286	8.03111107738897	2
2	2.72488059053409	8.47119865972839	2
2	2.80651324359531	8.9112862420678	2
2	2.88814589665654	9.3513738244072	2
2	2.96977854971776	9.79146140674662	2
2	3.05141120277898	10.231548989086	2
2	3.13304385584021	10.6716365714254	2
2	3.21467650890143	11.1117241537648	2
2	3.29630916196266	11.5518117361043	2
2	3.37794181502388	11.9918993184437	2
2	3.45957446808511	12.4319869007831	2
3	-0.846457590666832	-5.60253010374194	3
3	-0.764824937605608	-5.35828681636312	3
3	-0.683192284544383	-5.11404352898431	3
3	-0.601559631483159	-4.86980024160549	3
3	-0.519926978421934	-4.62555695422667	3
3	-0.43829432536071	-4.38131366684785	3
3	-0.356661672299485	-4.13707037946904	3
3	-0.275029019238261	-3.89282709209022	3
3	-0.193396366177036	-3.6485838047114	3
3	-0.111763713115812	-3.40434051733259	3
3	-0.0301310600545873	-3.16009722995377	3
3	0.0515015930066372	-2.91585394257495	3
3	0.133134246067862	-2.67161065519613	3
3	0.214766899129086	-2.42736736781732	3
3	0.296399552190311	-2.1831240804385	3
3	0.378032205251535	-1.93888079305968	3
3	0.45966485831276	-1.69463750568087	3
