group	x	y
153	-4	-55
153	-3.91836734693878	-55
153	-3.83673469387755	-55
153	-3.75510204081633	-55
153	-3.6734693877551	-55
153	-3.59183673469388	-55
153	-3.51020408163265	-55
153	-3.42857142857143	-55
153	-3.3469387755102	-55
153	-3.26530612244898	-55
153	-3.18367346938776	-55
153	-3.10204081632653	-55
153	-3.02040816326531	-55
153	-2.93877551020408	-55
153	-2.85714285714286	-51.4284797101055
153	-2.77551020408163	-46.530529261524
153	-2.69387755102041	-41.6325788129425
153	-2.61224489795918	-36.734628364361
153	-2.53061224489796	-31.8366779157796
153	-2.44897959183673	-26.9387274671981
153	-2.36734693877551	-22.0407770186166
153	-2.28571428571429	-17.1428265700351
153	-2.20408163265306	-12.2448761214537
153	-2.12244897959184	-7.34692567287222
153	-2.04081632653061	-2.44897522429074
153	-1.95918367346939	2.44897522429074
153	-1.87755102040816	7.34692567287219
153	-1.79591836734694	12.2448761214537
153	-1.71428571428571	17.1428265700351
153	-1.63265306122449	22.0407770186166
153	-1.55102040816327	26.9387274671981
153	-1.46938775510204	31.8366779157795
153	-1.38775510204082	36.734628364361
153	-1.30612244897959	41.6325788129425
153	-1.22448979591837	46.530529261524
153	-1.14285714285714	51.4284797101054
153	-1.06122448979592	55
153	-0.979591836734694	55
153	-0.89795918367347	55
153	-0.816326530612245	55
153	-0.734693877551021	55
153	-0.653061224489796	55
153	-0.571428571428572	55
153	-0.489795918367347	55
153	-0.408163265306123	55
153	-0.326530612244898	55
153	-0.244897959183674	55
153	-0.163265306122449	55
153	-0.0816326530612246	55
153	0	55
154	-4	-55
154	-3.91836734693878	-55
154	-3.83673469387755	-55
154	-3.75510204081633	-55
154	-3.6734693877551	-55
154	-3.59183673469388	-55
154	-3.51020408163265	-55
154	-3.42857142857143	-55
154	-3.3469387755102	-55
154	-3.26530612244898	-55
154	-3.18367346938776	-55
154	-3.10204081632653	-55
154	-3.02040816326531	-55
154	-2.93877551020408	-55
154	-2.85714285714286	-51.4284797101055
154	-2.77551020408163	-46.530529261524
154	-2.69387755102041	-41.6325788129425
154	-2.61224489795918	-36.734628364361
154	-2.53061224489796	-31.8366779157796
154	-2.44897959183673	-26.9387274671981
154	-2.36734693877551	-22.0407770186166
154	-2.28571428571429	-17.1428265700351
154	-2.20408163265306	-12.2448761214537
154	-2.12244897959184	-7.34692567287222
154	-2.04081632653061	-2.44897522429074
154	-1.95918367346939	2.44897522429074
154	-1.87755102040816	7.34692567287219
154	-1.79591836734694	12.2448761214537
154	-1.71428571428571	17.1428265700351
154	-1.63265306122449	22.0407770186166
154	-1.55102040816327	26.9387274671981
154	-1.46938775510204	31.8366779157795
154	-1.38775510204082	36.734628364361
154	-1.30612244897959	41.6325788129425
154	-1.22448979591837	46.530529261524
154	-1.14285714285714	51.4284797101054
154	-1.06122448979592	55
154	-0.979591836734694	55
154	-0.89795918367347	55
154	-0.816326530612245	55
154	-0.734693877551021	55
154	-0.653061224489796	55
154	-0.571428571428572	55
154	-0.489795918367347	55
154	-0.408163265306123	55
154	-0.326530612244898	55
154	-0.244897959183674	55
154	-0.163265306122449	55
154	-0.0816326530612246	55
154	0	55
155	-4	-55
155	-3.91836734693878	-55
155	-3.83673469387755	-55
155	-3.75510204081633	-55
155	-3.6734693877551	-55
155	-3.59183673469388	-55
155	-3.51020408163265	-55
155	-3.42857142857143	-55
155	-3.3469387755102	-55
155	-3.26530612244898	-55
155	-3.18367346938776	-55
155	-3.10204081632653	-55
155	-3.02040816326531	-55
155	-2.93877551020408	-55
155	-2.85714285714286	-51.4284797101055
155	-2.77551020408163	-46.530529261524
155	-2.69387755102041	-41.6325788129425
155	-2.61224489795918	-36.734628364361
155	-2.53061224489796	-31.8366779157796
155	-2.44897959183673	-26.9387274671981
155	-2.36734693877551	-22.0407770186166
155	-2.28571428571429	-17.1428265700351
155	-2.20408163265306	-12.2448761214537
155	-2.12244897959184	-7.34692567287222
155	-2.04081632653061	-2.44897522429074
155	-1.95918367346939	2.44897522429074
155	-1.87755102040816	7.34692567287219
