group	x	y
1	-3	5
1	-2.16666666666667	0.694444444444444
1	-2.00641025641026	0.0256821170282704
1	-2.00001024002621	4.09602097164452e-05
1	-2.00000000002621	1.04856567872957e-10
1	-2	0
1	-2	0
1	-2	0
1	-2	0
1	-2	0
2	-1	-3
2	-2.5	2.25
2	-2.05	0.2025
2	-2.00060975609756	0.00243939619274158
2	-2.00000009292229	3.71689187872448e-07
2	-2	8.88178419700125e-15
2	-2	0
2	-2	0
2	-2	0
2	-2	0
3	0.5	-3.75
3	4.25	14.0625
3	2.59558823529412	2.73707828719723
3	2.06833236127312	0.277998756689644
3	2.00112876239926	0.0045163237015986
3	2.00000031834647	1.273385979772e-06
3	2.00000000000003	1.01252339845814e-13
3	2	0
3	2	0
3	2	0
4	2.5	2.25
4	2.05	0.2025
4	2.00060975609756	0.00243939619274158
4	2.00000009292229	3.71689187872448e-07
4	2	8.88178419700125e-15
4	2	0
4	2	0
4	2	0
4	2	0
4	2	0
5	4	12
5	2.5	2.25
5	2.05	0.2025
5	2.00060975609756	0.00243939619274158
5	2.00000009292229	3.71689187872448e-07
5	2	8.88178419700125e-15
5	2	0
5	2	0
5	2	0
5	2	0
