group	y	x	showSelected1
1	3.10037054511756	1	-4
1	2.59774256904387	2	-4
1	2.080311660041	3	-4
1	1.52998450338873	4	-4
1	0.89394303969942	5	-4
1	0.0094515002776166	6	-4
1	-1.55049076441563	7	-4
1	-4.63005411401539	8	-4
1	-10.5939206362036	9	-4
1	-13.7324906718488	10	-4
1	-13.7324906718488	11	-4
1	-13.7324906718488	12	-4
1	-13.7324906718488	13	-4
1	-13.7324906718488	14	-4
1	-13.7324906718488	15	-4
1	-13.7324906718488	16	-4
1	-13.7324906718488	17	-4
1	-13.7324906718488	18	-4
1	-13.7324906718488	19	-4
1	-13.7324906718488	20	-4
2	2.24223094054017	1	-2.85714285714286
2	1.70526158342391	2	-2.85714285714286
2	1.10553266069653	3	-2.85714285714286
2	0.32737186453724	4	-2.85714285714286
2	-0.956192382757709	5	-2.85714285714286
2	-3.44434083639392	6	-2.85714285714286
2	-8.49491869946705	7	-2.85714285714286
2	-13.7324906718488	8	-2.85714285714286
2	-13.7324906718488	9	-2.85714285714286
2	-13.7324906718488	10	-2.85714285714286
2	-13.7324906718488	11	-2.85714285714286
2	-13.7324906718488	12	-2.85714285714286
2	-13.7324906718488	13	-2.85714285714286
2	-13.7324906718488	14	-2.85714285714286
2	-13.7324906718488	15	-2.85714285714286
2	-13.7324906718488	16	-2.85714285714286
2	-13.7324906718488	17	-2.85714285714286
2	-13.7324906718488	18	-2.85714285714286
2	-13.7324906718488	19	-2.85714285714286
2	-13.7324906718488	20	-2.85714285714286
3	0.98675068873025	1	-1.71428571428571
3	1.83312588903029	2	-1.71428571428571
3	1.25388422262167	3	-1.71428571428571
3	0.535498655172387	4	-1.71428571428571
3	-0.584458793718195	5	-1.71428571428571
3	-2.70715341106616	6	-1.71428571428571
3	-6.95479428274703	7	-1.71428571428571
3	-12.6993172650877	8	-1.71428571428571
3	-13.7324906718488	9	-1.71428571428571
3	-13.7324906718488	10	-1.71428571428571
3	-13.7324906718488	11	-1.71428571428571
3	-13.7324906718488	12	-1.71428571428571
3	-13.7324906718488	13	-1.71428571428571
3	-13.7324906718488	14	-1.71428571428571
3	-13.7324906718488	15	-1.71428571428571
3	-13.7324906718488	16	-1.71428571428571
3	-13.7324906718488	17	-1.71428571428571
3	-13.7324906718488	18	-1.71428571428571
3	-13.7324906718488	19	-1.71428571428571
3	-13.7324906718488	20	-1.71428571428571
4	0.946236253581947	1	-0.571428571428572
4	0.55460651755968	2	-0.571428571428572
4	-1.07201123990302	3	-0.571428571428572
4	-4.57750174244469	4	-0.571428571428572
4	-12.6500992424175	5	-0.571428571428572
4	-13.7324906718488	6	-0.571428571428572
4	-13.7324906718488	7	-0.571428571428572
4	-13.7324906718488	8	-0.571428571428572
4	-13.7324906718488	9	-0.571428571428572
4	-13.7324906718488	10	-0.571428571428572
4	-13.7324906718488	11	-0.571428571428572
4	-13.7324906718488	12	-0.571428571428572
4	-13.7324906718488	13	-0.571428571428572
4	-13.7324906718488	14	-0.571428571428572
4	-13.7324906718488	15	-0.571428571428572
4	-13.7324906718488	16	-0.571428571428572
4	-13.7324906718488	17	-0.571428571428572
4	-13.7324906718488	18	-0.571428571428572
4	-13.7324906718488	19	-0.571428571428572
4	-13.7324906718488	20	-0.571428571428572
5	0.778745166288184	1	0.571428571428571
5	-0.731149443968169	2	0.571428571428571
5	-2.74675362058417	3	0.571428571428571
5	-6.75198419319218	4	0.571428571428571
5	-12.9309258519932	5	0.571428571428571
5	-13.7324906718488	6	0.571428571428571
5	-13.7324906718488	7	0.571428571428571
5	-13.7324906718488	8	0.571428571428571
5	-13.7324906718488	9	0.571428571428571
5	-13.7324906718488	10	0.571428571428571
5	-13.7324906718488	11	0.571428571428571
5	-13.7324906718488	12	0.571428571428571
5	-13.7324906718488	13	0.571428571428571
5	-13.7324906718488	14	0.571428571428571
5	-13.7324906718488	15	0.571428571428571
5	-13.7324906718488	16	0.571428571428571
5	-13.7324906718488	17	0.571428571428571
5	-13.7324906718488	18	0.571428571428571
5	-13.7324906718488	19	0.571428571428571
5	-13.7324906718488	20	0.571428571428571
6	0.422479258291688	1	1.71428571428571
6	0.313569675283495	2	1.71428571428571
6	-1.16726792148781	3	1.71428571428571
6	-3.66119381797706	4	1.71428571428571
6	-8.61243754156605	5	1.71428571428571
6	-13.7324906718488	6	1.71428571428571
6	-13.7324906718488	7	1.71428571428571
6	-13.7324906718488	8	1.71428571428571
6	-13.7324906718488	9	1.71428571428571
6	-13.7324906718488	10	1.71428571428571
6	-13.7324906718488	11	1.71428571428571
6	-13.7324906718488	12	1.71428571428571
6	-13.7324906718488	13	1.71428571428571
6	-13.7324906718488	14	1.71428571428571
6	-13.7324906718488	15	1.71428571428571
6	-13.7324906718488	16	1.71428571428571
6	-13.7324906718488	17	1.71428571428571
6	-13.7324906718488	18	1.71428571428571
6	-13.7324906718488	19	1.71428571428571
6	-13.7324906718488	20	1.71428571428571
7	0.629447083820439	1	2.85714285714286
7	0.46274425405197	2	2.85714285714286
7	-0.55503074368434	3	2.85714285714286
7	-2.44137706449444	4	2.85714285714286
7	-6.19026251296189	5	2.85714285714286
7	-11.8931372911038	6	2.85714285714286
7	-13.7324906718488	7	2.85714285714286
7	-13.7324906718488	8	2.85714285714286
7	-13.7324906718488	9	2.85714285714286
7	-13.7324906718488	10	2.85714285714286
7	-13.7324906718488	11	2.85714285714286
7	-13.7324906718488	12	2.85714285714286
7	-13.7324906718488	13	2.85714285714286
7	-13.7324906718488	14	2.85714285714286
7	-13.7324906718488	15	2.85714285714286
7	-13.7324906718488	16	2.85714285714286
7	-13.7324906718488	17	2.85714285714286
7	-13.7324906718488	18	2.85714285714286
7	-13.7324906718488	19	2.85714285714286
7	-13.7324906718488	20	2.85714285714286
8	2.25527250510331	1	4
8	1.73309511775037	2	4
8	1.17052439317645	3	4
8	0.497572148752733	4	4
8	-0.496859221828165	5	4
8	-2.32774594612496	6	4
8	-5.96417148683735	7	4
8	-11.6641099568603	8	4
8	-13.7324906718488	9	4
8	-13.7324906718488	10	4
8	-13.7324906718488	11	4
8	-13.7324906718488	12	4
8	-13.7324906718488	13	4
8	-13.7324906718488	14	4
8	-13.7324906718488	15	4
8	-13.7324906718488	16	4
8	-13.7324906718488	17	4
8	-13.7324906718488	18	4
8	-13.7324906718488	19	4
8	-13.7324906718488	20	4
